family,Genus,species name,map_id_spp,IUCN red list category,IUCN_category_value,degree of restriction,weight_final,weight_standarized
Fabaceae,Abarema,Abarema cochliacarpos,spp 0431,,3,59.05,177.15,0.355
Malvaceae,Abutilon,Abutilon andrieuxii,spp 0308,,3,60.75,182.25,0.365
Malvaceae,Abutilon,Abutilon densiflorum,spp 0320,Least Concern,1,58.21,58.21,0.117
Malvaceae,Abutilon,Abutilon giganteum,spp 0310,Endangered,4,57.02,228.08,0.457
Malvaceae,Abutilon,Abutilon grandifolium,spp 0311,Least Concern,1,21.85,21.85,0.044
Malvaceae,Abutilon,Abutilon ibarrense,spp 0312,Least Concern,1,70.83,70.83,0.142
Fabaceae,Acacia,Acacia dealbata,spp 0439,,3,23.33,69.99,0.14
Fabaceae,Acacia,Acacia floribunda,spp 0930,Least Concern,1,86.58,86.58,0.174
Fabaceae,Acaciella,Acaciella angustissima,spp 0442,Least Concern,1,13.9,13.9,0.028
Fabaceae,Acaciella,Acaciella goldmanii,spp 0443,Least Concern,1,74.84,74.84,0.15
Fabaceae,Acaciella,Acaciella igualensis,spp 0444,Least Concern,1,60.37,60.37,0.121
Fabaceae,Acaciella,Acaciella villosa,spp 0445,Least Concern,1,77.87,77.87,0.156
Cactaceae,Acanthocereus,Acanthocereus fosterianus,spp 0084,Least Concern,1,90.11,90.11,0.181
Cactaceae,Acanthocereus,Acanthocereus hirschtianus,spp 0085,,3,99.61,298.83,0.599
Cactaceae,Acanthocereus,Acanthocereus tetragonus,spp 0086,Least Concern,1,59.99,59.99,0.12
Fabaceae,Acosmium,Acosmium cardenasii,spp 0446,Least Concern,1,33.85,33.85,0.068
Fabaceae,Albizia,Albizia carbonaria,spp 0455,Least Concern,1,18.66,18.66,0.037
Fabaceae,Albizia,Albizia multiflora,spp 0459,Least Concern,1,81.38,81.38,0.163
Fabaceae,Albizia,Albizia occidentalis,spp 0461,Least Concern,1,59.54,59.54,0.119
Fabaceae,Albizia,Albizia pistaciifolia,spp 0463,,3,29.3,87.9,0.176
Fabaceae,Albizia,Albizia polycephala,spp 0464,,3,53.87,161.61,0.324
Fabaceae,Amburana,Amburana cearensis,spp 0470,Endangered,4,56.57,226.28,0.453
Fabaceae,Anadenanthera,Anadenanthera colubrina,spp 0471,Least Concern,1,39.05,39.05,0.078
Fabaceae,Anadenanthera,Anadenanthera peregrina,spp 0473,Least Concern,1,27.97,27.97,0.056
Fabaceae,Andira,Andira anthelmia,spp 0474,Least Concern,1,26.09,26.09,0.052
Fabaceae,Andira,Andira cordata,spp 0475,Least Concern,1,33.65,33.65,0.067
Fabaceae,Andira,Andira cujabensis,spp 0476,Least Concern,1,13.88,13.88,0.028
Fabaceae,Andira,Andira fraxinifolia,spp 0477,Least Concern,1,34.15,34.15,0.068
Fabaceae,Andira,Andira humilis,spp 0478,Near Threatened,2,29.84,59.68,0.12
Fabaceae,Andira,Andira inermis,spp 0479,Least Concern,1,15.48,15.48,0.031
Fabaceae,Andira,Andira legalis,spp 0480,Least Concern,1,28.73,28.73,0.058
Fabaceae,Andira,Andira nitida,spp 0481,Least Concern,1,19.67,19.67,0.039
Fabaceae,Andira,Andira ormosioides,spp 0482,Least Concern,1,36.09,36.09,0.072
Fabaceae,Andira,Andira vermifuga,spp 0484,Least Concern,1,29.77,29.77,0.06
Malvaceae,Apeiba,Apeiba albiflora,spp 0313,Least Concern,1,11.74,11.74,0.024
Fabaceae,Apoplanesia,Apoplanesia paniculata,spp 0485,Least Concern,1,79.58,79.58,0.159
Cactaceae,Aporocactus,Aporocactus flagelliformis,spp 0087,Least Concern,1,20.27,20.27,0.041
Fabaceae,Apuleia,Apuleia leiocarpa,spp 0486,Least Concern,1,20.42,20.42,0.041
Cactaceae,Armatocereus,Armatocereus cartwrightianus,spp 0089,Least Concern,1,97.55,97.55,0.195
Fabaceae,Ateleia,Ateleia gummifera,spp 0487,Least Concern,1,34.57,34.57,0.069
Fabaceae,Ateleia,Ateleia herbert-smithii,spp 0488,Endangered,4,99.17,396.68,0.795
Cactaceae,Austrocylindropuntia,Austrocylindropuntia subulata,spp 0092,Least Concern,1,26.47,26.47,0.053
Malvaceae,Ayenia,Ayenia corchorifolia,spp 0323,,3,83.15,249.45,0.5
Malvaceae,Ayenia,Ayenia geminifolia,spp 0322,Least Concern,1,15.36,15.36,0.031
Malvaceae,Ayenia,Ayenia magna,spp 0316,Least Concern,1,65.36,65.36,0.131
Malvaceae,Ayenia,Ayenia micrantha,spp 0317,Least Concern,1,87.05,87.05,0.174
Malvaceae,Ayenia,Ayenia tomentosa,spp 0318,Least Concern,1,49.22,49.22,0.099
Malvaceae,Bakeridesia,Bakeridesia bakeriana,spp 0319,Endangered,4,54.6,218.4,0.438
Fabaceae,Balizia,Balizia pedicellaris,spp 0462,,3,28.12,84.36,0.169
Fabaceae,Barnebydendron,Barnebydendron riedelii,spp 0489,Vulnerable,3,27.1,81.3,0.163
Fabaceae,Bauhinia,Bauhinia aculeata,spp 0491,Least Concern,1,48.55,48.55,0.097
Fabaceae,Bauhinia,Bauhinia acuruana,spp 0492,Least Concern,1,52.77,52.77,0.106
Fabaceae,Bauhinia,Bauhinia bauhinioides,spp 0493,Vulnerable,3,62.62,187.86,0.376
Fabaceae,Bauhinia,Bauhinia bombaciflora,spp 0494,Least Concern,1,12.27,12.27,0.025
Fabaceae,Bauhinia,Bauhinia brevipes,spp 0495,Endangered,4,24.05,96.2,0.193
Fabaceae,Bauhinia,Bauhinia catingae,spp 0496,Least Concern,1,94.7,94.7,0.19
Fabaceae,Bauhinia,Bauhinia cheilantha,spp 0497,Near Threatened,2,87.43,174.86,0.35
Fabaceae,Bauhinia,Bauhinia cookii,spp 0498,Least Concern,1,61.51,61.51,0.123
Fabaceae,Bauhinia,Bauhinia corniculata,spp 0499,Vulnerable,3,16.39,49.17,0.099
Fabaceae,Bauhinia,Bauhinia cupulata,spp 0500,Least Concern,1,11.84,11.84,0.024
Fabaceae,Bauhinia,Bauhinia divaricata,spp 0501,Near Threatened,2,46.72,93.44,0.187
Fabaceae,Bauhinia,Bauhinia dubia,spp 0502,Least Concern,1,34.98,34.98,0.07
Fabaceae,Bauhinia,Bauhinia forficata,spp 0504,Least Concern,1,36.71,36.71,0.074
Fabaceae,Bauhinia,Bauhinia longifolia,spp 0508,Least Concern,1,29.66,29.66,0.059
Fabaceae,Bauhinia,Bauhinia membranacea,spp 0509,Least Concern,1,29.45,29.45,0.059
Fabaceae,Bauhinia,Bauhinia mollis,spp 0510,Least Concern,1,28.35,28.35,0.057
Fabaceae,Bauhinia,Bauhinia ovata,spp 0511,Least Concern,1,10.42,10.42,0.021
Fabaceae,Bauhinia,Bauhinia pauletia,spp 0512,Least Concern,1,69.46,69.46,0.139
Fabaceae,Bauhinia,Bauhinia pentandra,spp 0513,Least Concern,1,66.63,66.63,0.134
Fabaceae,Bauhinia,Bauhinia petiolata,spp 0514,Least Concern,1,37.47,37.47,0.075
Fabaceae,Bauhinia,Bauhinia picta,spp 0515,Least Concern,1,18.01,18.01,0.036
Fabaceae,Bauhinia,Bauhinia platypetala,spp 0516,Least Concern,1,16.87,16.87,0.034
Fabaceae,Bauhinia,Bauhinia pringlei,spp 0517,Least Concern,1,75.64,75.64,0.152
Fabaceae,Bauhinia,Bauhinia pulchella,spp 0518,Least Concern,1,34.81,34.81,0.07
Fabaceae,Bauhinia,Bauhinia purpurea,spp 0519,Least Concern,1,30.67,30.67,0.061
Fabaceae,Bauhinia,Bauhinia rufa,spp 0520,Least Concern,1,21.48,21.48,0.043
Fabaceae,Bauhinia,Bauhinia seleriana,spp 0521,Least Concern,1,70.06,70.06,0.14
Fabaceae,Bauhinia,Bauhinia subclavata,spp 0522,Least Concern,1,98.2,98.2,0.197
Fabaceae,Bauhinia,Bauhinia subrotundifolia,spp 0523,Least Concern,1,98.28,98.28,0.197
Fabaceae,Bauhinia,Bauhinia ungulata,spp 0524,Least Concern,1,27.43,27.43,0.055
Malvaceae,Bernoullia,Bernoullia flammea,spp 0321,Least Concern,1,32.45,32.45,0.065
Fabaceae,Blanchetiodendron,Blanchetiodendron blanchetii,spp 0525,Least Concern,1,95.54,95.54,0.191
Malvaceae,Bombax,Bombax ceiba,spp 0383,Least Concern,1,79.77,79.77,0.16
Fabaceae,Bowdichia,Bowdichia virgilioides,spp 0527,Least Concern,1,37.23,37.23,0.075
Cactaceae,Brasiliopuntia,Brasiliopuntia brasiliensis,spp 0093,Least Concern,1,58.49,58.49,0.117
Fabaceae,Brodriguesia,Brodriguesia santosii,spp 0528,Near Threatened,2,34.25,68.5,0.137
Fabaceae,Brongniartia,Brongniartia alamosana,spp 0529,Least Concern,1,68.14,68.14,0.137
Fabaceae,Brownea,Brownea coccinea,spp 0531,Least Concern,1,22.19,22.19,0.044
Fabaceae,Caesalpinia,Caesalpinia cacalaco,spp 0535,Least Concern,1,74.11,74.11,0.149
Fabaceae,Caesalpinia,Caesalpinia cassioides,spp 0537,Least Concern,1,55.93,55.93,0.112
Fabaceae,Calliandra,Calliandra aeschynomenoides,spp 0549,Least Concern,1,100,100,0.2
Fabaceae,Calliandra,Calliandra asplenioides,spp 0550,Least Concern,1,83.58,83.58,0.167
Fabaceae,Calliandra,Calliandra bella,spp 0551,,3,34.08,102.24,0.205
Fabaceae,Calliandra,Calliandra bijuga,spp 0552,Least Concern,1,73.06,73.06,0.146
Fabaceae,Calliandra,Calliandra caeciliae,spp 0554,Least Concern,1,82.94,82.94,0.166
Fabaceae,Calliandra,Calliandra calycina,spp 0555,Least Concern,1,99.7,99.7,0.2
Fabaceae,Calliandra,Calliandra elegans,spp 0556,Least Concern,1,99.83,99.83,0.2
Fabaceae,Calliandra,Calliandra erubescens,spp 0557,,3,100,300,0.601
Fabaceae,Calliandra,Calliandra foliolosa,spp 0558,Least Concern,1,55.8,55.8,0.112
Fabaceae,Calliandra,Calliandra haematocephala,spp 0559,Least Concern,1,20.57,20.57,0.041
Fabaceae,Calliandra,Calliandra houstoniana,spp 0560,Least Concern,1,62.61,62.61,0.125
Fabaceae,Calliandra,Calliandra magdalenae,spp 0561,Least Concern,1,52.81,52.81,0.106
Fabaceae,Calliandra,Calliandra selloi,spp 0553,Least Concern,1,36.97,36.97,0.074
Fabaceae,Calliandra,Calliandra tergemina,spp 0563,Least Concern,1,68.28,68.28,0.137
Fabaceae,Calliandra,Calliandra tweedii,spp 0564,Least Concern,1,92.11,92.11,0.185
Malvaceae,Callianthe,Callianthe geminiflora,spp 0325,Least Concern,1,44.58,44.58,0.089
Cactaceae,Carnegiea,Carnegiea gigantea,spp 0094,Least Concern,1,23.33,23.33,0.047
Fabaceae,Cassia,Cassia ferruginea,spp 0566,Least Concern,1,34.45,34.45,0.069
Fabaceae,Cassia,Cassia grandis,spp 0568,Least Concern,1,17.96,17.96,0.036
Fabaceae,Cassia,Cassia hintonii,spp 0569,Near Threatened,2,95.69,191.38,0.384
Fabaceae,Cassia,Cassia leptophylla,spp 0571,Least Concern,1,38.77,38.77,0.078
Malvaceae,Cavanillesia,Cavanillesia platanifolia,spp 0327,Least Concern,1,48.52,48.52,0.097
Malvaceae,Cavanillesia,Cavanillesia umbellata,spp 0328,Least Concern,1,33.18,33.18,0.066
Malvaceae,Ceiba,Ceiba aesculifolia,spp 0329,Least Concern,1,57.34,57.34,0.115
Malvaceae,Ceiba,Ceiba boliviana,spp 0331,Least Concern,1,70.89,70.89,0.142
Malvaceae,Ceiba,Ceiba chodatii,spp 0332,Least Concern,1,26.19,26.19,0.052
Malvaceae,Ceiba,Ceiba erianthos,spp 0333,Least Concern,1,66.83,66.83,0.134
Malvaceae,Ceiba,Ceiba glaziovii,spp 0334,Least Concern,1,99.5,99.5,0.199
Malvaceae,Ceiba,Ceiba insignis,spp 0335,,3,33.58,100.74,0.202
Malvaceae,Ceiba,Ceiba pentandra,spp 0336,Least Concern,1,18.12,18.12,0.036
Malvaceae,Ceiba,Ceiba pubiflora,spp 0337,Least Concern,1,44.93,44.93,0.09
Malvaceae,Ceiba,Ceiba schottii,spp 0338,Least Concern,1,77.28,77.28,0.155
Malvaceae,Ceiba,Ceiba speciosa,spp 0339,Least Concern,1,13.95,13.95,0.028
Malvaceae,Ceiba,Ceiba trischistandra,spp 0340,Least Concern,1,98.16,98.16,0.197
Fabaceae,Cenostigma,Cenostigma eriostachys,spp 0539,Least Concern,1,87.22,87.22,0.175
Fabaceae,Cenostigma,Cenostigma gaumeri,spp 0541,Least Concern,1,50.29,50.29,0.101
Fabaceae,Cenostigma,Cenostigma macrophyllum,spp 0573,Least Concern,1,36.65,36.65,0.073
Fabaceae,Cenostigma,Cenostigma microphyllum,spp 1032,Least Concern,1,100,100,0.2
Fabaceae,Cenostigma,Cenostigma pluviosum,spp 0574,Least Concern,1,45.08,45.08,0.09
Fabaceae,Cenostigma,Cenostigma pyramidale,spp 1034,Least Concern,1,96.6,96.6,0.194
Fabaceae,Centrolobium,Centrolobium tomentosum,spp 0576,Least Concern,1,18.61,18.61,0.037
Cactaceae,Cephalocereus,Cephalocereus euphorbioides,spp 0197,Least Concern,1,16.9,16.9,0.034
Cactaceae,Cephalocereus,Cephalocereus mezcalaensis,spp 0198,Least Concern,1,75.69,75.69,0.152
Cactaceae,Cephalocereus,Cephalocereus scoparius,spp 0200,Least Concern,1,67.88,67.88,0.136
Cactaceae,Cephalocereus,Cephalocereus tetetzo,spp 0201,Least Concern,1,73.45,73.45,0.147
Cactaceae,Cereus,Cereus fernambucensis,spp 0095,Least Concern,1,19.48,19.48,0.039
Cactaceae,Cereus,Cereus hankeanus,spp 0096,Least Concern,1,79.7,79.7,0.16
Cactaceae,Cereus,Cereus jamacaru,spp 0097,Least Concern,1,77.12,77.12,0.155
Cactaceae,Cereus,Cereus stenogonus,spp 0098,Least Concern,1,63.07,63.07,0.126
Fabaceae,Chamaecrista,Chamaecrista bahiae,spp 0578,Least Concern,1,12.14,12.14,0.024
Fabaceae,Chamaecrista,Chamaecrista blanchetii,spp 0579,Least Concern,1,100,100,0.2
Fabaceae,Chamaecrista,Chamaecrista ensiformis,spp 0581,Least Concern,1,21.46,21.46,0.043
Fabaceae,Chamaecrista,Chamaecrista glandulosa,spp 0582,Least Concern,1,60.62,60.62,0.121
Fabaceae,Chamaecrista,Chamaecrista zygophylloides,spp 0583,Least Concern,1,99.23,99.23,0.199
Fabaceae,Chloroleucon,Chloroleucon dumosum,spp 0586,Vulnerable,3,89.18,267.54,0.536
Fabaceae,Chloroleucon,Chloroleucon foliolosum,spp 0587,Least Concern,1,53.99,53.99,0.108
Fabaceae,Chloroleucon,Chloroleucon mangense,spp 0588,Least Concern,1,49.32,49.32,0.099
Fabaceae,Chloroleucon,Chloroleucon tenuiflorum,spp 0591,Least Concern,1,40.92,40.92,0.082
Cactaceae,Cleistocactus,Cleistocactus baumannii,spp 0099,Least Concern,1,32.62,32.62,0.065
Fabaceae,Clitoria,Clitoria dendrina,spp 0594,Least Concern,1,15.39,15.39,0.031
Cactaceae,Cochemiea,Cochemiea albicans ,spp 0151,Least Concern,1,85.44,85.44,0.171
Cactaceae,Cochemiea,Cochemiea dioica ,spp 0158,Near Threatened,2,55.56,111.12,0.223
Cactaceae,Cochemiea,Cochemiea grahamii ,spp 0164,Least Concern,1,29.15,29.15,0.058
Cactaceae,Cochemiea,Cochemiea mazatlanensis ,spp 0170,Least Concern,1,90.82,90.82,0.182
Cactaceae,Cochemiea,Cochemiea phitauiana ,spp 0175,Least Concern,1,72.35,72.35,0.145
Fabaceae,Cojoba,Cojoba arborea,spp 0596,Least Concern,1,30.87,30.87,0.062
Fabaceae,Cojoba,Cojoba rufescens,spp 0598,Least Concern,1,21.09,21.09,0.042
Fabaceae,Conzattia,Conzattia multiflora,spp 0599,Vulnerable,3,57.13,171.39,0.343
Fabaceae,Copaifera,Copaifera aromatica,spp 0600,Least Concern,1,26.2,26.2,0.053
Fabaceae,Copaifera,Copaifera coriacea,spp 0601,Vulnerable,3,26.2,78.6,0.158
Fabaceae,Copaifera,Copaifera duckei,spp 0602,Least Concern,1,59.6,59.6,0.119
Fabaceae,Copaifera,Copaifera elliptica,spp 0603,Least Concern,1,26.11,26.11,0.052
Fabaceae,Copaifera,Copaifera langsdorffii,spp 0604,Least Concern,1,37.83,37.83,0.076
Fabaceae,Copaifera,Copaifera lucens,spp 0605,Least Concern,1,31.87,31.87,0.064
Fabaceae,Copaifera,Copaifera luetzelburgii,spp 0606,Least Concern,1,59.44,59.44,0.119
Fabaceae,Copaifera,Copaifera malmei,spp 0607,Least Concern,1,12.74,12.74,0.026
Fabaceae,Copaifera,Copaifera martii,spp 0608,Least Concern,1,32.19,32.19,0.065
Fabaceae,Copaifera,Copaifera sabulicola,spp 0614,Least Concern,1,67.44,67.44,0.135
Cactaceae,Coryphantha,Coryphantha elephantidens,spp 0100,Least Concern,1,39.34,39.34,0.079
Cactaceae,Coryphantha,Coryphantha pallida,spp 0101,Least Concern,1,39.52,39.52,0.079
Fabaceae,Coulteria,Coulteria cubensis,spp 0616,Near Threatened,2,65.48,130.96,0.262
Fabaceae,Coulteria,Coulteria mollis,spp 0543,Data Deficient,3,62.24,186.72,0.374
Fabaceae,Coulteria,Coulteria platyloba,spp 0545,Least Concern,1,86.44,86.44,0.173
Fabaceae,Coulteria,Coulteria velutina,spp 0547,Least Concern,1,93.76,93.76,0.188
Fabaceae,Coursetia,Coursetia brachyrhachis,spp 0617,Vulnerable,3,72.04,216.12,0.433
Fabaceae,Coursetia,Coursetia caribaea,spp 0618,Least Concern,1,51.64,51.64,0.103
Fabaceae,Coursetia,Coursetia ferruginea,spp 0620,Near Threatened,2,21.58,43.16,0.086
Fabaceae,Coursetia,Coursetia glandulosa,spp 0621,Least Concern,1,54.23,54.23,0.109
Fabaceae,Coursetia,Coursetia hassleri,spp 0622,,3,27.14,81.42,0.163
Fabaceae,Coursetia,Coursetia mollis,spp 0623,Least Concern,1,85.86,85.86,0.172
Fabaceae,Coursetia,Coursetia rostrata,spp 0624,Least Concern,1,99.12,99.12,0.199
Capparaceae,Crateva,Crateva palmeri,spp 0056,Least Concern,1,87,87,0.174
Capparaceae,Crateva,Crateva tapia,spp 0057,Least Concern,1,38.55,38.55,0.077
Fabaceae,Ctenodon,Ctenodon compactus,spp 0451,Least Concern,1,72.19,72.19,0.145
Fabaceae,Ctenodon,Ctenodon mucronulatus,spp 0450,Least Concern,1,73.13,73.13,0.147
Fabaceae,Ctenodon,Ctenodon niveus,spp 0452,Least Concern,1,79.6,79.6,0.16
Fabaceae,Ctenodon,Ctenodon vigil,spp 0453,Vulnerable,3,94.01,282.03,0.565
Fabaceae,Cyclolobium,Cyclolobium brasiliense,spp 0625,Least Concern,1,32.38,32.38,0.065
Cactaceae,Cylindropuntia,Cylindropuntia alcahes,spp 0103,Least Concern,1,59.09,59.09,0.118
Cactaceae,Cylindropuntia,Cylindropuntia cholla,spp 0104,Least Concern,1,73.28,73.28,0.147
Cactaceae,Cylindropuntia,Cylindropuntia fulgida,spp 0106,Least Concern,1,11.51,11.51,0.023
Cactaceae,Cylindropuntia,Cylindropuntia thurberi,spp 0111,Least Concern,1,75.75,75.75,0.152
Cactaceae,Cylindropuntia,Cylindropuntia waltoniorum,spp 0114,Least Concern,1,61.69,61.69,0.124
Fabaceae,Cynometra,Cynometra oaxacana,spp 0627,Near Threatened,2,89.06,178.12,0.357
Fabaceae,Dahlstedtia,Dahlstedtia araripensis,spp 0628,Least Concern,1,72.53,72.53,0.145
Fabaceae,Dahlstedtia,Dahlstedtia floribunda,spp 0629,Least Concern,1,27.52,27.52,0.055
Fabaceae,Dahlstedtia,Dahlstedtia muehlbergiana,spp 0630,Least Concern,1,50.72,50.72,0.102
Fabaceae,Dalbergia,Dalbergia acuta,spp 0633,Least Concern,1,58.88,58.88,0.118
Fabaceae,Dalbergia,Dalbergia brasiliensis,spp 0634,Vulnerable,3,11.42,34.26,0.069
Fabaceae,Dalbergia,Dalbergia brownei,spp 0635,Least Concern,1,29.06,29.06,0.058
Fabaceae,Dalbergia,Dalbergia cearensis,spp 0636,Near Threatened,2,89.81,179.62,0.36
Fabaceae,Dalbergia,Dalbergia congestiflora,spp 0637,Endangered,4,86.56,346.24,0.694
Fabaceae,Dalbergia,Dalbergia foliolosa,spp 0638,Near Threatened,2,14.84,29.68,0.059
Fabaceae,Dalbergia,Dalbergia frutescens,spp 0639,Least Concern,1,36.09,36.09,0.072
Fabaceae,Dalbergia,Dalbergia glabra,spp 0640,Least Concern,1,42.72,42.72,0.086
Fabaceae,Dalbergia,Dalbergia granadillo,spp 0641,Critically Endangered,5,89.23,446.15,0.894
Fabaceae,Dalbergia,Dalbergia miscolobium,spp 0643,Least Concern,1,33.6,33.6,0.067
Fabaceae,Dalbergia,Dalbergia nigra,spp 0644,Vulnerable,3,16.7,50.1,0.1
Fabaceae,Dalbergia,Dalbergia retusa,spp 0645,Critically Endangered,5,73.65,368.25,0.738
Fabaceae,Dalea,Dalea ayavacensis,spp 0648,Least Concern,1,38.12,38.12,0.076
Fabaceae,Dalea,Dalea carthagenensis,spp 0649,,3,50.56,151.68,0.304
Fabaceae,Dalea,Dalea cylindrica,spp 0650,Least Concern,1,27.36,27.36,0.055
Fabaceae,Dalea,Dalea pazensis,spp 0651,,3,57.78,173.34,0.347
Cactaceae,Deamia,Deamia testudo,spp 0115,Least Concern,1,30.26,30.26,0.061
Fabaceae,Diphysa,Diphysa americana,spp 0656,Least Concern,1,48.32,48.32,0.097
Fabaceae,Diphysa,Diphysa carthagenensis,spp 0657,Least Concern,1,63.7,63.7,0.128
Fabaceae,Diphysa,Diphysa floribunda,spp 0658,Least Concern,1,60.23,60.23,0.121
Fabaceae,Diphysa,Diphysa occidentalis,spp 0659,Least Concern,1,61.76,61.76,0.124
Fabaceae,Diphysa,Diphysa puberulenta,spp 0660,Least Concern,1,58.15,58.15,0.117
Fabaceae,Diphysa,Diphysa racemosa,spp 0661,Least Concern,1,62.49,62.49,0.125
Fabaceae,Diphysa,Diphysa spinosa,spp 0662,Least Concern,1,64.68,64.68,0.13
Fabaceae,Diplotropis,Diplotropis ferruginea,spp 0663,Least Concern,1,73,73,0.146
Fabaceae,Diplotropis,Diplotropis incexis,spp 0664,Least Concern,1,24.85,24.85,0.05
Fabaceae,Dipteryx,Dipteryx alata,spp 0666,Vulnerable,3,18.58,55.74,0.112
Fabaceae,Dipteryx,Dipteryx lacunifera,spp 0667,Least Concern,1,38.46,38.46,0.077
Fabaceae,Diptychandra,Diptychandra aurantiaca,spp 0669,Least Concern,1,36.49,36.49,0.073
Cactaceae,Disocactus,Disocactus ackermannii,spp 0117,Least Concern,1,28.59,28.59,0.057
Cactaceae,Disocactus,Disocactus anguliger,spp 0118,Least Concern,1,29.42,29.42,0.059
Cactaceae,Disocactus,Disocactus crenatus,spp 0119,Near Threatened,2,40.27,80.54,0.161
Cactaceae,Disocactus,Disocactus lepidocarpus,spp 0120,,3,38.65,115.95,0.232
Cactaceae,Disocactus,Disocactus macdougallii,spp 0121,Endangered,4,26.67,106.68,0.214
Cactaceae,Disocactus,Disocactus macranthus,spp 0122,Least Concern,1,28.76,28.76,0.058
Cactaceae,Disocactus,Disocactus nelsonii,spp 0123,Least Concern,1,43.74,43.74,0.088
Cactaceae,Disocactus,Disocactus speciosus,spp 0124,Least Concern,1,34.84,34.84,0.07
Cactaceae,Echinocereus,Echinocereus brandegeei,spp 0128,Least Concern,1,78.48,78.48,0.157
Cactaceae,Echinocereus,Echinocereus scheeri,spp 0132,Least Concern,1,21.16,21.16,0.042
Cactaceae,Echinocereus,Echinocereus stolonifer ,spp 0133,,3,23.27,69.81,0.14
Fabaceae,Enterolobium,Enterolobium contortisiliquum,spp 0670,Least Concern,1,34.73,34.73,0.07
Fabaceae,Enterolobium,Enterolobium cyclocarpum,spp 0671,Least Concern,1,39.15,39.15,0.078
Fabaceae,Enterolobium,Enterolobium gummiferum,spp 0672,Least Concern,1,25.15,25.15,0.05
Malvaceae,Eriotheca,Eriotheca gracilipes,spp 0341,Least Concern,1,15.04,15.04,0.03
Malvaceae,Eriotheca,Eriotheca macrophylla,spp 0342,Least Concern,1,16.24,16.24,0.033
Fabaceae,Erythrina,Erythrina americana,spp 0676,Least Concern,1,37.9,37.9,0.076
Fabaceae,Erythrina,Erythrina berteroana,spp 0677,Least Concern,1,32.86,32.86,0.066
Fabaceae,Erythrina,Erythrina breviflora,spp 0678,Least Concern,1,29.45,29.45,0.059
Fabaceae,Erythrina,Erythrina chiapasana,spp 0679,Least Concern,1,48.37,48.37,0.097
Fabaceae,Erythrina,Erythrina crista-galli,spp 0680,Least Concern,1,24.41,24.41,0.049
Fabaceae,Erythrina,Erythrina falcata,spp 0682,Least Concern,1,35.11,35.11,0.07
Fabaceae,Erythrina,Erythrina flabelliformis,spp 0683,Least Concern,1,25.21,25.21,0.051
Fabaceae,Erythrina,Erythrina folkersii,spp 0684,Least Concern,1,12.53,12.53,0.025
Fabaceae,Erythrina,Erythrina fusca,spp 0685,Least Concern,1,13,13,0.026
Fabaceae,Erythrina,Erythrina goldmanii,spp 0686,Least Concern,1,71.08,71.08,0.142
Fabaceae,Erythrina,Erythrina lanata,spp 0687,Least Concern,1,71.22,71.22,0.143
Fabaceae,Erythrina,Erythrina mulungu,spp 0681,,3,16.42,49.26,0.099
Fabaceae,Erythrina,Erythrina poeppigiana,spp 0689,Least Concern,1,18.32,18.32,0.037
Fabaceae,Erythrina,Erythrina smithiana,spp 0690,Least Concern,1,50.78,50.78,0.102
Fabaceae,Erythrina,Erythrina speciosa,spp 0691,Least Concern,1,14.59,14.59,0.029
Fabaceae,Erythrina,Erythrina standleyana,spp 0692,Least Concern,1,43.3,43.3,0.087
Fabaceae,Erythrina,Erythrina velutina,spp 0694,Least Concern,1,82.22,82.22,0.165
Fabaceae,Erythrostemon,Erythrostemon caladenia ,spp 0536,Least Concern,1,88.21,88.21,0.177
Fabaceae,Erythrostemon,Erythrostemon calycinus,spp 0696,Least Concern,1,99.98,99.98,0.2
Fabaceae,Erythrostemon,Erythrostemon coccineus,spp 0538,Endangered,4,97.46,389.84,0.781
Fabaceae,Erythrostemon,Erythrostemon exostemma,spp 0697,Least Concern,1,88,88,0.176
Fabaceae,Erythrostemon,Erythrostemon mexicanus,spp 0542,Least Concern,1,24.34,24.34,0.049
Fabaceae,Erythrostemon,Erythrostemon palmeri,spp 0544,Least Concern,1,91.71,91.71,0.184
Fabaceae,Erythrostemon,Erythrostemon yucatanensis,spp 0548,Least Concern,1,54.39,54.39,0.109
Cactaceae,Escontria,Escontria chiotilla,spp 0137,Least Concern,1,67.52,67.52,0.135
Fabaceae,Exostyles,Exostyles venusta,spp 0699,Least Concern,1,21.62,21.62,0.043
Fabaceae,Eysenhardtia,Eysenhardtia adenostylis,spp 0700,Least Concern,1,70.76,70.76,0.142
Fabaceae,Eysenhardtia,Eysenhardtia orthocarpa,spp 0701,Least Concern,1,29.1,29.1,0.058
Fabaceae,Eysenhardtia,Eysenhardtia platycarpa,spp 0702,Least Concern,1,50.4,50.4,0.101
Fabaceae,Eysenhardtia,Eysenhardtia polystachya,spp 0703,Least Concern,1,28.95,28.95,0.058
Fabaceae,Eysenhardtia,Eysenhardtia punctata,spp 0704,Least Concern,1,39.01,39.01,0.078
Cactaceae,Ferocactus,Ferocactus emoryi,spp 0138,Least Concern,1,57.36,57.36,0.115
Cactaceae,Ferocactus,Ferocactus macrodiscus,spp 0142,Vulnerable,3,24.25,72.75,0.146
Cactaceae,Ferocactus,Ferocactus peninsulae,spp 0143,Least Concern,1,74.85,74.85,0.15
Cactaceae,Ferocactus,Ferocactus recurvus ,spp 0141,,3,11.55,34.65,0.069
